Ile	4.5	0.31	0.60	1.38	0.943	
Val	4.2	-0.07	0.31	1.08	0.825
Leu	3.8	0.56	0.55	1.06	0.943
Phe	2.8	1.13	0.32	1.19	1.0
Cys	2.5	0.24	0.13	0.29	0.680
Met	1.9	0.23	0.10	0.64	0.738
Ala	1.8	-0.17	-0.11	0.62	0.616
Gly	-0.4	-0.01	-0.74	0.48	0.501
Thr	-0.7	-0.14	-0.52	-0.05	0.450
Ser	-0.8	-0.13	-0.84	-0.18	0.359
Trp	-0.9	1.85	-0.30	0.81	0.878
Tyr	-1.3	0.94	-0.68	0.26	0.880
Pro	-1.6	-0.45	-2.23	0.12	0.711
His	-3.2	-0.96	-2.06	-0.4	0.165
Glu	-3.5	-2.02	-2.68	-0.74	0.043
Gln	-3.5	-0.58	-2.36	-0.85	0.251
Asp	-3.5	-1.23	-3.49	-0.9	0.028
Asn	-3.5	-0.42	-2.05	-0.78	0.236
Lys	-3.9	-0.99	-2.71	-1.5	0.283
Arg	-4.5	-0.81	-2.58	-2.53	0.0
